ISO;pais;desenvolvido;ano;unemployment;ppp;ppp_2011;gdp_npc;gross_fixed;share_manuf_gdp;sahre_ind_gdp;share_ind_emplo;export_devel;export_industrial;export_manuf;import_devel;import_industrial;import_manuf;exp_imp_manuf;exp_imp_ind;exp_imp_dev;l_ppp;l_ppp_2011;l2_ppp;l2_ppp_2011;r_exp_imp_manuf;r_export_manuf;r_import_manuf
DZA;Algeria;0;2010;9,961;12667,73;12929,23;4,56E+11;36,2832;;50,4954;39,434;11480396136;45562506455;460469148;14793300669;25513046944;460469148;920938296;71075553399;26273696805;9,4468;9,4672;89,2423;89,6287;0,002;0,001;0,001
AGO;Angola;0;2010;;5893,38;6015,03;1,35E+11;14,4229;;;8,747;32572921414;19622028380;;7739629330;10373449214;;;29995477594;40312550744;8,6816;8,702;75,3699;75,7251;;;
ARG;Argentina;0;2010;7,75;18529,32;18911,82;7,56E+11;16,6415;15,8449;25,2588;23,34;47325026471;18748549760;21942885976;35126253601;18508924790;21942885976;43885771952;37257474550;82451280072;9,8271;9,8475;96,5721;96,9741;0,0581;0,029;0,029
AUS;Australia;1;2010;5,208;41675,1;42535,4;9,24E+11;27,0104;8,003;25,0638;20,977;1,35E+11;74489874741;27171545541;1,05E+11;89424824574;27171545541;54343091082;1,64E+11;2,40E+11;10,6377;10,6581;113,1598;113,5949;0,0588;0,0294;0,0294
AUT;Austria;1;2010;4,825;42540,84;43419,01;3,56E+11;21,5967;16,4785;25,535;24,908;16486329281;1,22E+11;1,15E+11;18043426821;1,26E+11;1,15E+11;2,30E+11;2,48E+11;34529756102;10,6582;10,6787;113,5977;114,0336;0,648;0,324;0,324
BLR;Belarus;0;2010;0,827;15890,1;16218,12;1,51E+11;38,8271;22,5105;35,3918;34,631;3240289700;8052889800;13351088500;4432167100;8638397400;13351088500;26702177000;16691287200;7672456800;9,6735;9,6939;93,5757;93,9714;0,1769;0,0884;0,0884
BEL;Belgium;1;2010;8,325;40121,53;40949,76;4,35E+11;21,8189;13,166;20,7281;23,375;55360626120;3,41E+11;2,88E+11;64897518663;3,17E+11;2,88E+11;5,76E+11;6,58E+11;1,20E+11;10,5997;10,6201;112,353;112,7866;1,3247;0,6624;0,6624
BOL;Bolivia;0;2010;4,375;5298,1;5407,47;52548000000;16,5722;11,27;30,1439;20,628;4888276409;2058211629;500181512;4141158612;1455761890;500181512;1000363024;3513973519;9029435021;8,5751;8,5955;73,5324;73,8832;0,019;0,0095;0,0095
BRA;Brazil;0;2010;8,5;14337,93;14633,91;2,80E+18;20,5347;12,7219;23,268;22,298;1,18E+11;75732518845;71312068344;96475595848;82258231147;71312068344;1,43E+11;1,58E+11;2,14E+11;9,5707;9,5911;91,5976;91,9891;0,0509;0,0254;0,0254
CMR;Cameroon;0;2010;;2806,88;2864,82;57327000000;23,468;13,5657;27,178;9,281;1369056404;2501904502;291977315;2824511653;2062054758;291977315;583954630;4563959260;4193568057;7,9398;7,9603;63,0409;63,3658;0,0102;0,0051;0,0051
