ISO;pais;desenvolvido;ano;unemployment;ppp;ppp_2011;gdp_npc;gross_fixed;share_manuf_gdp;sahre_ind_gdp;share_ind_emplo;export_devel;export_industrial;export_manuf;import_devel;import_industrial;import_manuf;exp_imp_manuf;exp_imp_ind;exp_imp_dev;l_ppp;l_ppp_2011;l2_ppp;l2_ppp_2011;r_exp_imp_manuf;r_export_manuf;r_import_manuf
DZA;Algeria;0;1995;28,105;7010,75;9615,61;1,97E+11;29,1369;10,4541;45,8254;26,456;1007093258;7840920592;283855128;1610276161;8804083683;283855128;567710256;16645004275;2617369419;8,8552;9,1711;78,4146;84,1099;0,0029;0,0014;0,0014
DZA;Algeria;0;2000;29,496;8282,59;10449,54;2,53E+11;20,6772;7,0498;54,3715;24,484;3685851959;18291013361;318438939;1440608525;7266545146;318438939;636877878;25557558507;5126460484;9,0219;9,2543;81,3949;85,6423;0,0025;0,0013;0,0013
DZA;Algeria;0;2005;15,265;11125,97;12495,6;3,66E+11;22,3703;;57,334;29,835;7231365787;38751389814;439121101;5219144952;13631740965;439121101;878242202;52383130779;12450510739;9,317;9,4331;86,8072;88,984;0,0024;0,0012;0,0012
DZA;Algeria;0;2010;9,961;12667,73;12929,23;4,56E+11;36,2832;;50,4954;39,434;11480396136;45562506455;460469148;14793300669;25513046944;460469148;920938296;71075553399;26273696805;9,4468;9,4672;89,2423;89,6287;0,002;0,001;0,001
DZA;Algeria;0;2015;11,214;14581,02;13692,85;5,83E+11;42,16;5,4161;35,6603;47,595;8206066289;26544975545;1092985451;20034306537;30488910103;1092985451;2185970902;57033885648;28240372826;9,5875;9,5246;91,9197;90,7186;0,0038;0,0019;0,0019
AGO;Angola;0;1995;;1743,97;2391,95;25649000000;;3,6463;60,2852;8,807;420902000;3020110000;11591000;295050161;1159933195;11591000;23182000;4180043195;715952161;7,4639;7,7799;55,7101;60,5263;0,0009;0,0005;0,0005
AGO;Angola;0;2000;;2196,07;2770,62;37442000000;28,1493;2,8902;72,123;8,596;2638054000;5044393000;10294000;1121446752;1869508385;10294000;20588000;6913901385;3759500752;7,6944;7,9268;59,2042;62,8346;0,0005;0,0003;0,0003
AGO;Angola;0;2005;;3512,52;3944,92;69425000000;8,7793;;;8,758;9745344720;13591555015;52512090;3991714424;4317670344;52512090;105024180;17909225359;13737059144;8,1641;8,2802;66,6523;68,5614;0,0015;0,0008;0,0008
AGO;Angola;0;2010;;5893,38;6015,03;1,35E+11;14,4229;;;8,747;32572921414;19622028380;;7739629330;10373449214;;;29995477594;40312550744;8,6816;8,702;75,3699;75,7251;;;
AGO;Angola;0;2015;;6955,33;6531,66;1,85E+11;9,5523;;;8,927;21957311009;10842463451;;11847153881;8662317727;;;19504781178;33804464890;8,8473;8,7844;78,2741;77,166;;;
