Processo;Sit;Dsc sit;Sexo;CA;Início;Término;Grande Área;Área de Conhecimento;Inst;UF;Sigla_inst;Sigla Região;Região;Cidade_inst;Cat_Nivel;Total Bolsa Solicitado;Total Bolsa Aprovado
302321/2016-0;51;Em curso;M;LL;01/03/2017;29/02/2020;Lingüística, Letras e Artes;Lingüística;Universidade de Brasília;DF;UnB;CO;CENTRO-OESTE;Brasília;2;39600,00;39600,00
307514/2017-0;51;Em curso;M;MA;01/03/2018;28/02/2021;Ciências Exatas e da Terra;Matemática;Universidade Federal do Ceará;CE;UFC;NE;NORDESTE;Fortaleza;2;39600,00;39600,00
302986/2016-2;51;Em curso;M;EL;01/03/2017;29/02/2020;Ciências Biológicas;Ecologia;Universidade Estadual de Feira de Santana;BA;UEFS;NE;NORDESTE;Feira de Santana;2;39600,00;39600,00
305402/2016-1;51;Em curso;M;FI;01/03/2017;29/02/2020;Ciências Humanas;Filosofia;Universidade Federal da Bahia;BA;UFBA;NE;NORDESTE;Salvador;2;39600,00;39600,00
308166/2014-0;51;Em curso;M;CA;01/03/2015;28/02/2019;Engenharias;Engenharia Sanitária;Universidade Federal Rural de Pernambuco;PE;UFRPE;NE;NORDESTE;Recife;1C;66000,00;115200,00
304454/2015-0;51;Em curso;M;GE;01/03/2016;28/02/2019;Ciências Biológicas;Genética;Centro Nacional de Pesquisa de Mandioca e Fruticultura Tropical;BA;Embrapa/CNPMFT;NE;NORDESTE;Cruz das Almas;2;66000,00;39600,00
301475/2017-2;51;Em curso;M;OC;01/03/2018;31/03/2021;Ciências Exatas e da Terra;Oceanografia;Universidade Federal Fluminense;RJ;UFF;SE;SUDESTE;Niteroi;2;39600,00;39600,00
312388/2016-0;51;Em curso;M;EM;01/03/2017;28/02/2022;Engenharias;Engenharia Mecânica;Laboratório Nacional de Computação Científica;RJ;LNCC;SE;SUDESTE;Petropolis;1A;39600,00;168000,00
309586/2016-0;51;Em curso;M;FA;01/03/2017;29/02/2020;Ciências Exatas e da Terra;Física;Universidade Estadual de Campinas;SP;UNICAMP;SE;SUDESTE;Campinas;2;39600,00;39600,00
306387/2015-8;51;Em curso;M;MA;01/03/2016;28/02/2019;Ciências Exatas e da Terra;Probabilidade e Estatística;Universidade Federal de Pernambuco;PE;UFPE;NE;NORDESTE;Recife;2;66000,00;39600,00
304136/2013-1;51;Em curso;M;EE;01/03/2018;28/02/2019;Engenharias;Engenharia Elétrica;Pontifícia Universidade Católica do Rio de Janeiro;RJ;PUC-Rio;SE;SUDESTE;Rio de Janeiro;1B;39600,00;120000,00
302547/2016-9;51;Em curso;M;FA;01/03/2017;28/02/2022;Ciências Exatas e da Terra;Física;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;UNESP;SE;SUDESTE;Sao Paulo;SR;39600,00;90000,00
307873/2016-1;51;Em curso;M;MA;01/03/2017;28/02/2021;Ciências Exatas e da Terra;Matemática;Universidade Federal Fluminense;RJ;UFF;SE;SUDESTE;Niteroi;1B;39600,00;120000,00
306747/2017-0;51;Em curso;F;PS;01/03/2018;28/02/2023;Ciências Humanas;Psicologia;Universidade São Francisco;SP;USF;SE;SUDESTE;Braganca Paulista;1A;39600,00;168000,00
